chrom,geneA,geneB,gidA,gidB,tssA,tssB,dist,bclassA,bclassB,gtypeA,gtypeB,pairclass,dist_tier,bdp_id,in_caco2_505
chr1,COPA,NCSTN,ENSG00000122218.16,ENSG00000162736.17,160343273,160343316,43,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,COPA_NCSTN,True
chr1,PFDN2,NIT1,ENSG00000143256.5,ENSG00000158793.14,161118055,161118086,31,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,PFDN2_NIT1,True
chr1,ILDR2,MAEL,ENSG00000143195.13,ENSG00000143194.13,166975540,166975582,42,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,ILDR2_MAEL,False
chr1,NME7,BLZF1,ENSG00000143156.14,ENSG00000117475.14,169367948,169367970,22,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,NME7_BLZF1,True
chr1,ARPC5,RGL1,ENSG00000162704.16,ENSG00000143344.15,183635783,183636085,302,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,ARPC5_RGL1,True
chr1,TRMT1L,SWT1,ENSG00000121486.12,ENSG00000116668.13,185157072,185157080,8,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,TRMT1L_SWT1,True
chr1,TPR,ODR4,ENSG00000047410.14,ENSG00000157181.16,186375693,186375838,145,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,TPR_ODR4,True
chr1,NSL1,TATDN3,ENSG00000117697.15,ENSG00000203705.11,212791782,212791828,46,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,NSL1_TATDN3,True
chr1,GPATCH2,SPATA17,ENSG00000092978.11,ENSG00000162814.11,217631090,217631324,234,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,GPATCH2_SPATA17,False
chr1,HIST3H2A,HIST3H2BB,ENSG00000181218.5,ENSG00000196890.4,228457873,228458107,234,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,HIST3H2A_HIST3H2BB,True
chr1,TAF5L,URB2,ENSG00000135801.9,ENSG00000135763.10,229626047,229626247,200,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,TAF5L_URB2,True
chr1,TTC13,ARV1,ENSG00000143643.13,ENSG00000173409.14,230978875,230978981,106,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,TTC13_ARV1,True
chr1,C1orf131,GNPAT,ENSG00000143633.13,ENSG00000116906.13,231241187,231241207,20,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,C1orf131_GNPAT,True
chr1,ARID4B,TBCE,ENSG00000054267.22,ENSG00000285053.1,235328219,235328570,351,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,ARID4B_TBCE,True
chr1,CEP170,SDCCAG8,ENSG00000143702.16,ENSG00000054282.16,243255348,243256034,686,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,CEP170_SDCCAG8,True
chr1,TFB2M,CNST,ENSG00000162851.8,ENSG00000162852.14,246566261,246566444,183,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,TFB2M_CNST,True
chr10,IDI1,WDR37,ENSG00000067064.11,ENSG00000047056.16,1049170,1049538,368,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,IDI1_WDR37,True
chr10,ANKRD16,FBH1,ENSG00000134461.16,ENSG00000134452.19,5889906,5890203,297,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,ANKRD16_FBH1,True
chr10,KIN,ATP5F1C,ENSG00000151657.12,ENSG00000165629.20,7787993,7788147,154,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,KIN_ATP5F1C,True
chr10,NSUN6,ARL5B,ENSG00000241058.4,ENSG00000165997.5,18659285,18659431,146,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,NSUN6_ARL5B,True
chr10,AP3M1,ADK,ENSG00000185009.12,ENSG00000156110.14,74151063,74151202,139,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,AP3M1_ADK,True
chr10,KLLN,PTEN,ENSG00000227268.4,ENSG00000171862.11,87863437,87863625,188,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,KLLN_PTEN,False
chr10,LIPA,IFIT5,ENSG00000107798.18,ENSG00000152778.9,89414557,89414568,11,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,LIPA_IFIT5,True
chr10,CPEB3,MARCH5,ENSG00000107864.15,ENSG00000198060.10,92291078,92291167,89,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,CPEB3_MARCH5,True
chr10,RRP12,PGAM1,ENSG00000052749.13,ENSG00000171314.9,97426076,97426191,115,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,RRP12_PGAM1,True
chr10,EXOSC1,ZDHHC16,ENSG00000171311.13,ENSG00000171307.19,97446017,97446170,153,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,EXOSC1_ZDHHC16,True
chr10,MMS19,UBTD1,ENSG00000155229.21,ENSG00000165886.5,97498794,97498924,130,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,MMS19_UBTD1,True
chr10,ARL3,SFXN2,ENSG00000138175.9,ENSG00000156398.13,102714397,102714538,141,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,ARL3_SFXN2,True
chr10,ATP5MD,PDCD11,ENSG00000173915.16,ENSG00000148843.15,103396492,103396626,134,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,ATP5MD_PDCD11,True
chr10,BBIP1,SHOC2,ENSG00000214413.8,ENSG00000108061.11,110919201,110919547,346,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,BBIP1_SHOC2,True
chr10,ZDHHC6,VTI1A,ENSG00000023041.11,ENSG00000151532.13,112446917,112446998,81,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,ZDHHC6_VTI1A,True
chr10,DCLRE1A,NHLRC2,ENSG00000198924.8,ENSG00000196865.4,113854383,113854661,278,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,DCLRE1A_NHLRC2,True
chr10,MCMBP,SEC23IP,ENSG00000197771.12,ENSG00000107651.13,119892556,119892730,174,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,MCMBP_SEC23IP,True
chr10,C10orf88,PSTK,ENSG00000119965.13,ENSG00000179988.14,122954311,122954381,70,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,C10orf88_PSTK,True
chr10,IKZF5,ACADSB,ENSG00000095574.11,ENSG00000196177.12,123008817,123008979,162,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,IKZF5_ACADSB,True
chr10,UROS,BCCIP,ENSG00000188690.15,ENSG00000107949.17,125823258,125823546,288,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,UROS_BCCIP,True
chr10,DHX32,FANK1,ENSG00000089876.12,ENSG00000203780.10,125896436,125896539,103,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,DHX32_FANK1,False
chr10,STK32C,LRRC27,ENSG00000165752.17,ENSG00000148814.18,132331847,132332154,307,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,STK32C_LRRC27,True
chr11,BET1L,RIC8A,ENSG00000177951.17,ENSG00000177963.14,207428,207511,83,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,BET1L_RIC8A,True
chr11,SIRT3,PSMD13,ENSG00000142082.15,ENSG00000185627.18,236931,236966,35,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,SIRT3_PSMD13,True
chr11,HRAS,LRRC56,ENSG00000174775.17,ENSG00000161328.11,537287,537527,240,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,HRAS_LRRC56,False
chr11,PIDD1,RPLP2,ENSG00000177595.18,ENSG00000177600.9,809753,809965,212,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,PIDD1_RPLP2,True
chr11,POLR2L,TSPAN4,ENSG00000177700.6,ENSG00000214063.11,842529,842812,283,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,POLR2L_TSPAN4,True
chr11,TRIM5,OR56A3,ENSG00000132256.19,ENSG00000184478.7,5938619,5938751,132,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,TRIM5_OR56A3,False
chr11,FAM160A2,CNGA4,ENSG00000051009.10,ENSG00000132259.13,6234711,6234765,54,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,FAM160A2_CNGA4,False
chr11,ARFIP2,AC084337.2,ENSG00000132254.12,ENSG00000283977.1,6481479,6481485,6,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,ARFIP2_AC084337.2,False
chr11,RRP8,ILK,ENSG00000132275.11,ENSG00000166333.13,6603616,6603708,92,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,RRP8_ILK,False
chr11,ZNF214,NLRP14,ENSG00000149050.10,ENSG00000158077.4,7020346,7020446,100,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,ZNF214_NLRP14,False
chr11,TRIM66,RPL27A,ENSG00000166436.16,ENSG00000166441.13,8682694,8682788,94,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,TRIM66_RPL27A,True
chr11,ST5,AKIP1,ENSG00000166444.19,ENSG00000166452.12,8910951,8911139,188,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,ST5_AKIP1,True
chr11,PSMA1,PDE3B,ENSG00000129084.17,ENSG00000152270.9,14643635,14643804,169,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,PSMA1_PDE3B,True
chr11,PIK3C2A,NUCB2,ENSG00000011405.13,ENSG00000070081.17,17207983,17208153,170,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,PIK3C2A_NUCB2,True
chr11,HPS5,GTF2H1,ENSG00000110756.17,ENSG00000110768.12,18322198,18322295,97,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,HPS5_GTF2H1,True
chr11,UEVLD,SPTY2D1OS,ENSG00000151116.17,ENSG00000247595.4,18588747,18588781,34,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,UEVLD_SPTY2D1OS,True
chr11,KIF18A,METTL15,ENSG00000121621.7,ENSG00000169519.21,28108156,28108248,92,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,KIF18A_METTL15,True
chr11,DCDC1,DNAJC24,ENSG00000170959.14,ENSG00000170946.15,31369810,31369840,30,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,DCDC1_DNAJC24,False
chr11,IMMP1L,ELP4,ENSG00000148950.11,ENSG00000109911.19,31509645,31509755,110,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,IMMP1L_ELP4,True
chr11,ARHGAP1,ZNF408,ENSG00000175220.12,ENSG00000175213.3,46700619,46701030,411,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,ARHGAP1_ZNF408,True
chr11,MED19,TMX2,ENSG00000156603.18,ENSG00000213593.10,57712323,57712593,270,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,MED19_TMX2,True
chr11,LPXN,ZFP91,ENSG00000110031.12,ENSG00000186660.15,58578220,58579063,843,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,LPXN_ZFP91,False
chr11,CYB561A3,TMEM138,ENSG00000162144.9,ENSG00000149483.12,61362299,61362344,45,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,CYB561A3_TMEM138,True
chr11,CPSF7,SDHAF2,ENSG00000149532.15,ENSG00000167985.6,61430031,61430042,11,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,CPSF7_SDHAF2,True
chr11,TMEM258,FEN1,ENSG00000134825.16,ENSG00000168496.4,61792802,61792911,109,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,TMEM258_FEN1,True
chr11,C11orf98,CSKMT,ENSG00000278615.4,ENSG00000214756.8,62665217,62665309,92,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,C11orf98_CSKMT,False
chr11,HNRNPUL2,TTC9C,ENSG00000214753.4,ENSG00000162222.14,62727457,62728069,612,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,HNRNPUL2_TTC9C,True
chr11,TRMT112,PRDX5,ENSG00000173113.6,ENSG00000126432.14,64318084,64318121,37,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,TRMT112_PRDX5,True
chr11,ATG2A,PPP2R5B,ENSG00000110046.13,ENSG00000068971.14,64917211,64917553,342,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,ATG2A_PPP2R5B,False
chr11,CDCA5,ZFPL1,ENSG00000146670.10,ENSG00000162300.13,65084164,65084210,46,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,CDCA5_ZFPL1,True
chr11,FAU,MRPL49,ENSG00000149806.11,ENSG00000149792.9,65122177,65122183,6,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,FAU_MRPL49,True
chr11,MAP3K11,PCNX3,ENSG00000173327.8,ENSG00000197136.4,65615382,65615773,391,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,MAP3K11_PCNX3,True
chr11,C11orf68,DRAP1,ENSG00000175573.7,ENSG00000175550.8,65919062,65919274,212,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,C11orf68_DRAP1,False
chr11,EIF1AD,BANF1,ENSG00000175376.9,ENSG00000175334.8,66002176,66002228,52,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,EIF1AD_BANF1,True
chr11,ZDHHC24,ACTN3,ENSG00000174165.8,ENSG00000248746.6,66546235,66546395,160,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,ZDHHC24_ACTN3,False
chr11,CCDC87,CCS,ENSG00000182791.5,ENSG00000173992.9,66593063,66593153,90,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,CCDC87_CCS,False
chr11,MRPL21,IGHMBP2,ENSG00000197345.13,ENSG00000132740.8,68903835,68903842,7,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,MRPL21_IGHMBP2,True
chr11,DHCR7,NADSYN1,ENSG00000172893.15,ENSG00000172890.13,71452868,71453109,241,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,DHCR7_NADSYN1,True
chr11,AP002495.1,RNF121,ENSG00000254469.7,ENSG00000137522.18,71928654,71929018,364,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,AP002495.1_RNF121,True
chr11,NUMA1,AP000812.5,ENSG00000137497.17,ENSG00000284922.1,72080693,72080777,84,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,NUMA1_AP000812.5,False
chr11,C2CD3,PPME1,ENSG00000168014.16,ENSG00000214517.10,74171210,74171267,57,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,C2CD3_PPME1,True
chr11,LIPT2,POLD3,ENSG00000175536.7,ENSG00000077514.9,74493724,74493851,127,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,LIPT2_POLD3,True
chr11,XRRA1,SPCS2,ENSG00000166435.15,ENSG00000118363.12,74949200,74949247,47,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,XRRA1_SPCS2,True
chr11,THAP12,GVQW3,ENSG00000137492.8,ENSG00000179240.11,76381132,76381303,171,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,THAP12_GVQW3,True
chr11,RSF1,AAMDC,ENSG00000048649.13,ENSG00000087884.14,77821017,77821109,92,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,RSF1_AAMDC,True
chr11,KCTD21,USP35,ENSG00000188997.8,ENSG00000118369.13,78188626,78188812,186,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,KCTD21_USP35,True
chr11,DLG2,TMEM126B,ENSG00000150672.17,ENSG00000171204.12,85627922,85628573,651,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,DLG2_TMEM126B,True
chr11,MRE11,ANKRD49,ENSG00000020922.12,ENSG00000168876.9,94493908,94493979,71,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,MRE11_ANKRD49,True
chr11,CWC15,KDM4D,ENSG00000150316.12,ENSG00000186280.7,94973586,94973709,123,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,CWC15_KDM4D,False
chr11,CCDC82,JRKL,ENSG00000149231.14,ENSG00000183340.7,96389956,96389989,33,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,CCDC82_JRKL,True
chr11,SLC35F2,RAB39A,ENSG00000110660.15,ENSG00000179331.3,107928293,107928448,155,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,SLC35F2_RAB39A,False
chr11,TIMM8B,SDHD,ENSG00000150779.12,ENSG00000204370.12,112086798,112086824,26,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,TIMM8B_SDHD,True
chr11,C11orf71,AP002373.1,ENSG00000180425.11,ENSG00000255663.1,114400511,114400682,171,pc,pc,protein_coding,protein_coding,pc-pc,<=1kb,C11orf71_AP002373.1,False
